seed,split,source,scenario,count
42,test,real,GZ,29
42,test,real,Normal,34
42,test,real,充电短路,23
42,train,real,GZ,42
42,train,real,Normal,26
42,train,real,充电短路,52
42,train,virtual,GZ,195
42,train,virtual,Normal,539
42,train,virtual,充电短路,390
42,val,real,GZ,9
42,val,real,Normal,8
42,val,real,充电短路,13
42,val,virtual,GZ,5
42,val,virtual,Normal,61
42,val,virtual,充电短路,10
52,test,real,GZ,70
52,test,real,Normal,34
52,test,real,充电短路,76
52,train,real,GZ,9
52,train,real,Normal,28
52,train,real,充电短路,8
52,train,virtual,GZ,195
52,train,virtual,Normal,539
52,train,virtual,充电短路,390
52,val,real,GZ,1
52,val,real,Normal,6
52,val,real,充电短路,4
52,val,virtual,GZ,5
52,val,virtual,Normal,61
52,val,virtual,充电短路,10
62,test,real,GZ,10
62,test,real,Normal,34
62,test,real,充电短路,12
62,train,real,GZ,56
62,train,real,Normal,28
62,train,real,充电短路,60
62,train,virtual,GZ,145
62,train,virtual,Normal,539
62,train,virtual,充电短路,341
62,val,real,GZ,14
62,val,real,Normal,6
62,val,real,充电短路,16
62,val,virtual,GZ,55
62,val,virtual,Normal,61
62,val,virtual,充电短路,59
72,test,real,GZ,50
72,test,real,Normal,34
72,test,real,充电短路,66
72,train,real,GZ,24
72,train,real,Normal,29
72,train,real,充电短路,16
72,train,virtual,GZ,195
72,train,virtual,Normal,539
72,train,virtual,充电短路,390
72,val,real,GZ,6
72,val,real,Normal,5
72,val,real,充电短路,6
72,val,virtual,GZ,5
72,val,virtual,Normal,61
72,val,virtual,充电短路,10
82,test,real,GZ,30
82,test,real,Normal,34
82,test,real,充电短路,22
82,train,real,GZ,43
82,train,real,Normal,26
82,train,real,充电短路,51
82,train,virtual,GZ,195
82,train,virtual,Normal,539
82,train,virtual,充电短路,390
82,val,real,GZ,7
82,val,real,Normal,8
82,val,real,充电短路,15
82,val,virtual,GZ,5
82,val,virtual,Normal,61
82,val,virtual,充电短路,10
